station_id,lat,lon,page,details
ISRO0820,16.19,81.14,17,"Temporal  Resolution Order  Data 101 The  Tahsildar,Machilipatnam  Mandal ANDHRA  PRADESH 15F333 ISRO0819 16.19 81.14  2"
ISRO0821,16.23,80.91,17,2017-11-21 HOURLY 102 M.R.O.  OFFICE  movva ANDHRA  PRADESH 15F334 ISRO0820 16.23 80.91  2010-08-15 2018-11-26 HOURLY 10
ISRO0822,16.42,81.12,17,"2018-11-26 HOURLY 103 The  Tahsildar,Mudinepalli  Mandal ANDHRA  PRADESH 15F335 ISRO0821 16.42 81.12  2009-09-22 2019-01"
ISRO0823,15.39,77.23,18,"105 The  Tahsildar,Alur  Mandal,Kurnool  District. ANDHRA  PRADESH 15F337 ISRO0823 15.39 77.23  2009-08-13 2017-12-05 HO"
ISRO0824,15.39,77.23,18,"105 The  Tahsildar,Alur  Mandal,Kurnool  District. ANDHRA  PRADESH 15F337 ISRO0823 15.39 77.23  2009-08-13 2017-12-05 HO"
ISRO0825,15.48,77.39,18,2017-12-05 HOURLY 106 M.R.O.  OFFICE  ASPARI  MANDAL ANDHRA  PRADESH 15F338 ISRO0824 15.48 77.39  2009-08-13 2018-10-06 
ISRO0826,15.78,77.14,18,2018-10-06 HOURLY 107 m.r.o.  office  kowthlam  mandal ANDHRA  PRADESH 15F339 ISRO0825 15.78 77.14  2009-08-05 2018-11-0
ISRO0827,15.54,77.55,18,2018-11-01 HOURLY 108 DEVARA  KONDA ANDHRA  PRADESH 15F33A ISRO0826 15.54 77.55  2009-08-05 2018-11-01 HOURLY 109 The  T
ISRO0828,15.54,77.55,18,15.54 77.55  2009-08-05 2018-11-01 HOURLY 109 The  Tahsildar-Gadivemula  Mandal ANDHRA  PRADESH 15F33B ISRO0827 15.68 78
ISRO0829,15.68,78.42,18,ISRO0827 15.68 78.42  2010-08-15 2017-11-14 HOURLY 110  BANAGA  PALLY   ANDHRA  PRADESH 15F33C ISRO0828 15.32 78.22  200
